Sum_Parameter;Rotational speed [rpm];Torque [Nm];Tool wear [min];Air temperature [K];Process temperature [K];Machine failure
0;1596;36.1;140;300.6;309.6;0
0;1759;29.1;200;302.6;312.1;0
0;1805;26.5;25;299.3;308.5;0
0;1524;44.3;197;301.0;310.9;0
0;1641;35.4;34;298.0;309.0;0
0;1429;42.1;65;298.4;308.9;0
0;1413;42.9;156;299.6;311.0;0
0;1609;38.1;67;298.7;310.1;0
0;1578;35.2;13;297.7;308.8;0
0;1447;53.3;98;300.5;312.3;0
0;1408;47.7;139;301.0;310.8;0
0;1432;43.6;166;301.5;310.8;0
0;1659;40.9;152;301.4;310.7;0
0;1470;43.8;204;297.1;308.4;0
0;1385;53.1;143;298.5;309.4;0
0;1567;34.6;38;297.6;308.3;0
0;1452;39.2;72;300.4;309.9;0
0;1421;49.6;5;300.5;309.8;0
0;1408;49.5;0;300.5;311.7;0
0;1408;44.6;76;303.5;312.4;0
0;1424;53.9;40;301.5;310.4;0
0;1555;40.3;27;298.6;308.4;0
0;1479;39.1;23;300.9;310.7;0
0;1470;40.9;190;301.0;310.9;0
0;1676;32.2;173;297.2;307.9;0
0;1427;47.7;162;301.0;312.2;0
0;1534;33.2;2;298.3;308.2;0
0;1462;43.8;0;297.4;308.4;0
0;1492;41.4;124;301.3;311.0;0
0;1445;38.3;51;300.2;309.5;0
0;1507;43.3;111;300.1;309.3;0
0;1423;22.5;129;300.6;309.8;0
0;1436;47.3;71;303.5;312.3;0
0;1560;35.7;89;298.3;308.1;0
0;1334;49.7;158;297.8;308.3;0
0;1473;46.3;118;301.0;311.0;0
0;1486;39.6;19;300.7;311.9;0
0;1618;28.3;119;300.8;312.4;0
0;1435;47.8;94;298.3;308.0;0
0;1487;44.6;83;301.4;310.6;0
0;1383;44.4;172;299.2;310.6;0
0;1526;37.4;103;297.7;308.8;0
0;1566;32.9;135;299.7;309.1;0
0;1469;39.9;14;302.5;312.2;0
0;1686;30.3;155;301.8;310.9;0
0;1465;48.5;161;296.7;307.5;0
0;1528;43.4;9;302.4;312.0;0
0;1538;38.8;119;299.2;310.6;0
0;1515;33.0;27;298.1;308.6;0
